Date,VIX,VXD,VXN,HS&P500,HDJIA,HNASDAQ
04/01/2010,20.040001,18.2,21.2,12.62916588,11.59648553,14.19760839
05/01/2010,19.35,17.6,20.5,12.04864861,11.30382958,13.43693252
06/01/2010,19.16,17.33,20.21,12.01360604,11.29682202,13.44776946
07/01/2010,19.059999,17.2,19.99,11.40608754,10.70200067,12.60624924
08/01/2010,18.129999,16.59,18.92,11.43558077,10.69579732,12.79666804
11/01/2010,17.549999,16.01,18.47,11.37210129,10.73480945,12.77696577
12/01/2010,18.25,16.2,19.29,10.5721251,9.895785613,12.51345717
13/01/2010,17.85,16.14,18.4,10.78815577,9.95452508,13.0705323
14/01/2010,17.629999,15.59,18.2,10.22891622,9.334731363,12.64053517
15/01/2010,17.91,15.74,18.73,10.69862771,9.711766366,13.07487985
19/01/2010,17.58,15.81,18.74,11.02972554,9.92800298,13.87350372
20/01/2010,18.68,16.39,20.01,11.33752604,10.44409421,14.42405166
21/01/2010,22.27,19.73,23.19,12.57680724,11.96083339,14.61301824
22/01/2010,27.309999,24.2,28.37,13.80314696,13.08552538,16.93007383
25/01/2010,25.41,23.01,27.04,13.82642345,13.02391299,16.74586757
26/01/2010,24.549999,21.87,25.47,13.77640817,12.88055825,16.67416089
27/01/2010,23.139999,20.57,24.21,13.80762404,12.80547907,16.80716394
28/01/2010,23.73,21.24,24.91,14.08238063,13.19254159,18.24574107
29/01/2010,24.620001,21.63,25.8,14.2774061,13.21080963,18.81664935
01/02/2010,22.59,19.98,24.33,14.86045884,13.6386898,19.09507875
02/02/2010,21.48,18.91,23.01,14.9416534,13.5072725,18.93572696
03/02/2010,21.6,18.78,22.34,14.9303508,13.51510165,18.37643462
04/02/2010,26.08,22.77,25.99,17.17865121,15.3065113,19.9098286
05/02/2010,26.110001,22.95,25.96,17.1681213,15.24388808,19.95837867
08/02/2010,26.51,23.39,26.92,17.34645244,15.5373668,19.94871389
09/02/2010,26,22.63,25.58,17.68791962,16.07846937,20.00451312
10/02/2010,25.4,22.25,25.23,17.69659033,16.07188455,19.97408295
11/02/2010,23.959999,20.84,23.43,17.91301581,16.35958518,20.41025845
12/02/2010,22.73,20.23,22.97,17.93057951,16.40991868,20.39185041
16/02/2010,22.25,19.35,21.92,18.4456069,16.79406387,20.5377709
17/02/2010,21.719999,18.96,21.4,17.89212721,16.26548222,20.17174597
18/02/2010,20.629999,18.15,20.65,17.97094691,16.43139519,20.26944594
19/02/2010,20.02,17.91,20.81,17.9814228,16.43344536,20.21114483
22/02/2010,19.940001,17.79,20.43,17.94654951,16.41676998,20.22967125
23/02/2010,21.370001,19.09,21.55,18.267053,16.6540544,20.43641564
24/02/2010,20.27,17.84,20.63,18.47608896,16.80722431,20.63541598
25/02/2010,20.1,17.81,20.52,18.2848877,16.84308388,20.29065717
26/02/2010,19.5,17.42,19.78,18.12953553,16.78016514,19.95507125
01/03/2010,19.26,17.07,19.59,18.35358031,16.90502719,20.43809046
02/03/2010,19.059999,16.85,19.51,18.09614152,16.68319007,20.17082085
03/03/2010,18.83,16.86,19.35,17.73024524,16.38265707,19.58838419
04/03/2010,18.719999,16.5,19.1,17.4957064,16.1002335,19.17322788
05/03/2010,17.42,15.52,17.92,17.10067114,15.38528662,19.5074848
08/03/2010,17.790001,15.87,18.67,15.8510814,14.15060905,17.44804237
09/03/2010,17.92,15.96,18.76,15.80275998,14.13799772,17.47927633
10/03/2010,18.57,16.73,19.08,15.8102126,14.13804065,17.64638958
11/03/2010,18.059999,16.22,19.09,15.79032406,14.14063136,17.50740388
12/03/2010,17.58,15.8,19.14,15.41450438,13.76040851,15.76406845
15/03/2010,18,16.09,19.05,15.14954319,13.68432136,14.99118618
16/03/2010,17.690001,15.83,18.31,14.7477474,13.30812135,14.74335294
17/03/2010,16.91,15.5,17.56,14.3598744,12.99020753,14.51247079
18/03/2010,16.620001,15.02,17.24,14.27226654,13.02715987,14.5029973
19/03/2010,16.969999,15.29,17.87,11.15403614,10.64675157,11.94839608
22/03/2010,16.870001,15.19,18.03,11.21999543,10.70850573,12.02356023
23/03/2010,16.35,14.68,17.43,11.11795595,10.64368404,12.04902296
24/03/2010,17.549999,15.34,18.01,10.57638764,9.794835147,11.7455906
25/03/2010,18.4,16.42,18.82,10.56812372,9.778360149,11.73302439
26/03/2010,17.77,15.87,18.67,10.19113542,9.292120507,10.92764245
29/03/2010,17.59,15.98,18.6,10.29269723,9.282454088,10.98801457
30/03/2010,17.129999,15.46,18.23,8.872514088,7.908799092,10.3803007
31/03/2010,17.59,15.64,18.32,8.838134669,7.941557723,10.38050033
01/04/2010,17.469999,15.69,18.76,8.893115113,7.814904169,10.18654282
05/04/2010,17.02,15.48,18.52,9.163270168,7.907157475,10.53885214
06/04/2010,16.23,14.92,17.83,9.171255913,7.890033491,10.51731298
07/04/2010,16.620001,15.4,17.7,8.64342414,7.614165488,9.831687356
08/04/2010,16.48,15.12,17.29,8.229719631,7.204517951,9.369947668
09/04/2010,16.139999,14.74,16.54,8.43309974,7.292237492,9.581775708
12/04/2010,15.58,14.37,16.37,8.438804409,7.294808164,9.538917639
13/04/2010,16.200001,14.6,15.97,7.911035084,6.96280528,8.537042649
14/04/2010,15.59,14.25,16.02,8.51889016,7.477605386,9.241024573
15/04/2010,15.89,14.05,16.54,8.521481378,7.494084891,9.346728936
16/04/2010,18.360001,16.12,17.78,9.658602088,8.07085696,9.959291151
19/04/2010,17.34,15.37,17.89,8.861385911,7.575756545,8.887977557
20/04/2010,15.73,13.99,16.43,9.163856485,7.594625589,8.998291489
21/04/2010,16.32,14.3,16.3,9.155166642,7.590403322,8.990808917
